Compound_1,Compound_2,range,,,Compound_1,Compound_2,range
Calcium chloride dihydrate,Cobalt (II) chloride hexahydrate,0.5590271497543355,,,Biotin,Boric acid,3.425968376
Calcium chloride dihydrate,Copper (II) sulphate pentahydrate,2.2218488549761846,,,Biotin,Calcium pantothenate,0.33716292111563284
Calcium chloride dihydrate,Iron sulphate heptahydrate,0.334087323,,,Biotin,Inositol,3.3010314298757106
Calcium chloride dihydrate,Magnesium sulphate heptahydrate,1.5170180859686382,,,Biotin,Nicotinic acid,0
Calcium chloride dihydrate,Manganese chloride tetrahydrate,1.9179636309184147,,,Biotin,Pyridoxine,0
Calcium chloride dihydrate,Potassium iodide,1.5200236222463763,,,Biotin,Thiamine,0.30102999566398125
Calcium chloride dihydrate,Sodium molybdate dihydrate,0.4432317925859053,,,Biotin,para-aminobenzoic acid,1
Calcium chloride dihydrate,Zinc sulphate heptahydrate,2.8684459914844327,,,Boric acid,Calcium pantothenate,3.763131297266293
Cobalt (II) chloride hexahydrate,Copper (II) sulphate pentahydrate,1.8193428566117715,,,Boric acid,Inositol,4.425969810362389
Cobalt (II) chloride hexahydrate,Iron sulphate heptahydrate,1.3910705043941558,,,Boric acid,Nicotinic acid,3.425968376
Cobalt (II) chloride hexahydrate,Magnesium sulphate heptahydrate,0.3887966553701818,,,Boric acid,Pyridoxine,3.425968376
Cobalt (II) chloride hexahydrate,Manganese chloride tetrahydrate,0.6898266248961491,,,Boric acid,Thiamine,3.4756924476787994
Cobalt (II) chloride hexahydrate,Potassium iodide,8.881784197001252e-16,,,Boric acid,para-aminobenzoic acid,3.425968376
Cobalt (II) chloride hexahydrate,Sodium molybdate dihydrate,0.5608680431651782,,,Calcium pantothenate,Inositol,0.6628385130960974
Cobalt (II) chloride hexahydrate,Zinc sulphate heptahydrate,0.088521272,,,Calcium pantothenate,Nicotinic acid,0.33716292111563284
Copper (II) sulphate pentahydrate,Iron sulphate heptahydrate,0.6532121788111134,,,Calcium pantothenate,Pyridoxine,0.33716292111563284
Copper (II) sulphate pentahydrate,Magnesium sulphate heptahydrate,2.262277072,,,Calcium pantothenate,Thiamine,0.28743884958749355
Copper (II) sulphate pentahydrate,Manganese chloride tetrahydrate,0.5528419686577815,,,Calcium pantothenate,para-aminobenzoic acid,1.337162921115632
Copper (II) sulphate pentahydrate,Potassium iodide,0.8750612633917001,,,Inositol,Nicotinic acid,1.0000014342117294
Copper (II) sulphate pentahydrate,Sodium molybdate dihydrate,2.3802108997769498,,,Inositol,Pyridoxine,1.0000014342117294
Copper (II) sulphate pentahydrate,Zinc sulphate heptahydrate,0.6532125137753431,,,Inositol,Thiamine,3.047187375691647
Iron sulphate heptahydrate,Magnesium sulphate heptahydrate,1.2111248840552087,,,Inositol,para-aminobenzoic acid,2.096909360755161
Iron sulphate heptahydrate,Manganese chloride tetrahydrate,0.46488679830265145,,,Nicotinic acid,Pyridoxine,0
Iron sulphate heptahydrate,Potassium iodide,0,,,Nicotinic acid,Thiamine,0.049724072
Iron sulphate heptahydrate,Sodium molybdate dihydrate,1.8361431903909038,,,Nicotinic acid,para-aminobenzoic acid,1
Iron sulphate heptahydrate,Zinc sulphate heptahydrate,0.13641855429173066,,,Pyridoxine,Thiamine,0.049724072
Magnesium sulphate heptahydrate,Manganese chloride tetrahydrate,0.6989700043360187,,,Pyridoxine,para-aminobenzoic acid,1
Magnesium sulphate heptahydrate,Potassium iodide,0.30102999566398037,,,Thiamine,para-aminobenzoic acid,1.656105436638744
Magnesium sulphate heptahydrate,Sodium molybdate dihydrate,0.8169038325746079,,,,,
Magnesium sulphate heptahydrate,Zinc sulphate heptahydrate,1.3521825181113618,,,,,
Manganese chloride tetrahydrate,Potassium iodide,0.3979400086720384,,,,,
Manganese chloride tetrahydrate,Sodium molybdate dihydrate,0.5740312677277188,,,,,
Manganese chloride tetrahydrate,Zinc sulphate heptahydrate,1.2545178663697243,,,,,
Potassium iodide,Sodium molybdate dihydrate,8.881784197001252e-16,,,,,
Potassium iodide,Zinc sulphate heptahydrate,1.0511525224473814,,,,,
Sodium molybdate dihydrate,Zinc sulphate heptahydrate,0.027274084866662385,,,,,
