Compound_1,Compound_2,range
Calcium chloride dihydrate,Cobalt (II) chloride hexahydrate,0.5590271497543355
Calcium chloride dihydrate,Copper (II) sulphate pentahydrate,2.2218488549761846
Calcium chloride dihydrate,Iron sulphate heptahydrate,0.334087323160837
Calcium chloride dihydrate,Magnesium sulphate heptahydrate,1.5170180859686382
Calcium chloride dihydrate,Manganese chloride tetrahydrate,1.9179636309184147
Calcium chloride dihydrate,Potassium iodide,1.5200236222463763
Calcium chloride dihydrate,Sodium molybdate dihydrate,0.4432317925859053
Calcium chloride dihydrate,Zinc sulphate heptahydrate,2.8684459914844327
Cobalt (II) chloride hexahydrate,Copper (II) sulphate pentahydrate,1.8193428566117715
Cobalt (II) chloride hexahydrate,Iron sulphate heptahydrate,1.3910705043941558
Cobalt (II) chloride hexahydrate,Magnesium sulphate heptahydrate,0.3887966553701818
Cobalt (II) chloride hexahydrate,Manganese chloride tetrahydrate,0.6898266248961491
Cobalt (II) chloride hexahydrate,Potassium iodide,8.881784197001252e-16
Cobalt (II) chloride hexahydrate,Sodium molybdate dihydrate,0.5608680431651782
Cobalt (II) chloride hexahydrate,Zinc sulphate heptahydrate,0.08852127230176787
Copper (II) sulphate pentahydrate,Iron sulphate heptahydrate,0.6532121788111134
Copper (II) sulphate pentahydrate,Magnesium sulphate heptahydrate,2.26227707153836
Copper (II) sulphate pentahydrate,Manganese chloride tetrahydrate,0.5528419686577815
Copper (II) sulphate pentahydrate,Potassium iodide,0.8750612633917001
Copper (II) sulphate pentahydrate,Sodium molybdate dihydrate,2.3802108997769498
Copper (II) sulphate pentahydrate,Zinc sulphate heptahydrate,0.6532125137753431
Iron sulphate heptahydrate,Magnesium sulphate heptahydrate,1.2111248840552087
Iron sulphate heptahydrate,Manganese chloride tetrahydrate,0.46488679830265145
Iron sulphate heptahydrate,Potassium iodide,0.0
Iron sulphate heptahydrate,Sodium molybdate dihydrate,1.8361431903909038
Iron sulphate heptahydrate,Zinc sulphate heptahydrate,0.13641855429173066
Magnesium sulphate heptahydrate,Manganese chloride tetrahydrate,0.6989700043360187
Magnesium sulphate heptahydrate,Potassium iodide,0.30102999566398037
Magnesium sulphate heptahydrate,Sodium molybdate dihydrate,0.8169038325746079
Magnesium sulphate heptahydrate,Zinc sulphate heptahydrate,1.3521825181113618
Manganese chloride tetrahydrate,Potassium iodide,0.3979400086720384
Manganese chloride tetrahydrate,Sodium molybdate dihydrate,0.5740312677277188
Manganese chloride tetrahydrate,Zinc sulphate heptahydrate,1.2545178663697243
Potassium iodide,Sodium molybdate dihydrate,8.881784197001252e-16
Potassium iodide,Zinc sulphate heptahydrate,1.0511525224473814
Sodium molybdate dihydrate,Zinc sulphate heptahydrate,0.027274084866662385
